Item,Price,Ad ID,Location,Model,Details
 YamahaR15 39456 Kms 2012 year ,56000," Added via phone on 4 Nov, Ad ID: 1147570425 "," Antop Hill, Mumbai ", YamahaR15 39456 Kms 2012 year ," Brand: Yamaha Model: SZ Year: 2012 KM Driven: 39,456 km "
 2015 KTM 390 Duke ABS 14000 Kms ,140000," Added via phone on 10 Nov, Ad ID: 1145713347 "," Malad East, Mumbai ", 2015 KTM 390 Duke ABS 14000 Kms ," Brand: KTM Model: 390 Duke ABS Year: 2015 KM Driven: 14,500 km "
 2011 TVS Others 19000 Kms ,25000," Added via phone on 11 Nov, Ad ID: 1127926643 "," Dahisar East, Mumbai ", 2011 TVS Others 19000 Kms ," Brand: TVS Model: Others Year: 2011 KM Driven: 19,000 km "
 Bajaj Avenger 220 DTSi - 8168 KM ,49850," Added via phone on 13 Nov, Ad ID: 1045977259 "," Kandivali West, Mumbai ", Bajaj Avenger 220 DTSi - 8168 KM ," Brand: Bajaj Model: Avenger Year: 2010 KM Driven: 8,168 km "
 If you are looking for a second source of income ,10000," Added via phone on 12 Nov, Ad ID: 1124876889 "," Andheri East, Mumbai ", If you are looking for a second source of income , Brand: Other Brands Year: 2000 KM Driven: 2 km 
 Hero Karizma 20000 Kms 2014 year ,50000," Added via phone on 11 Nov, Ad ID: 1150033611 "," Nalasopara West, Mumbai ", Hero Karizma 20000 Kms 2014 year ," Brand: Hero Model: Karizma Year: 2014 KM Driven: 20,000 km "
 2013 Honda CB 35000 Kms ,46000," Added via phone on 15 Nov, Ad ID: 1151260113 "," Andheri West, Mumbai ", 2013 Honda CB 35000 Kms ," Brand: Honda Model: CB Year: 2013 KM Driven: 35,000 km "
 Kawasaki Ninja 650. 2015 model. Barely run ,410000," Added via phone on 27 May, Ad ID: 1220755049 "," Grant Road Area, Mumbai ", Kawasaki Ninja 650. 2015 model. Barely run ," Brand: Other Brands Year: 2015 KM Driven: 7,125 km "
 1985 Royal Enfield Others 50000 Kms ,65000," Added via phone on 17 Nov, Ad ID: 1152209101 "," Virar West, Mumbai ", 1985 Royal Enfield Others 50000 Kms ," Brand: Royal Enfield Model: Others Year: 1985 KM Driven: 50,000 km "
 2014 Honda CB 14000 Kms ,52000," Added via phone on 27 May, Ad ID: 1220755095 "," Mankhurd, Mumbai ", 2014 Honda CB 14000 Kms ," Brand: Honda Model: CB Year: 2014 KM Driven: 14,000 km "
 Bajaj Pulsar 2500 Kms 2007 year ,28000," Added via phone on 27 May, Ad ID: 1220758249 "," Dahisar East, Mumbai ", Bajaj Pulsar 2500 Kms 2007 year ," Brand: Bajaj Model: Pulsar Year: 2007 KM Driven: 2,500 km "
 Bajaj pulsar 200ns ,36000," Added via phone on 27 May, Ad ID: 1220759771 "," Goregaon West, Mumbai ", Bajaj pulsar 200ns ," Brand: Bajaj Model: Pulsar Year: 2013 KM Driven: 35,000 km "
 Royal Enfield Bullet 4500 Kms 2016 year ,140000," Added via phone on 27 May, Ad ID: 1220758495 "," Chembur, Mumbai ", Royal Enfield Bullet 4500 Kms 2016 year ," Brand: Royal Enfield Model: Bullet Year: 2016 KM Driven: 4,500 km "
 Bajaj 150 Others 60000 Kms 2006 year ,8000," Added via phone on 27 May, Ad ID: 1220760045 "," Vasai East, Mumbai ", Bajaj 150 Others 60000 Kms 2006 year ," Brand: Bajaj Model: Pulsar Year: 2006 KM Driven: 65,000 km "
 2015 Bajaj Pulsar 18000 Kms ,72000," Added via phone on 27 May, Ad ID: 1220763017 "," Bandra East, Mumbai ", 2015 Bajaj Pulsar 18000 Kms ," Brand: Bajaj Model: Pulsar Year: 2015 KM Driven: 18,000 km "
 Hero Others 22931 Kms 2015 year ,40000," Added via phone on 27 May, Ad ID: 1211914297 "," Andheri West, Mumbai ", Hero Others 22931 Kms 2015 year ," Brand: Hero Model: Others Year: 2015 KM Driven: 23,231 km "
 Bajaj Pulsar 20500 Kms 2014 year ,65000," Added via phone on 27 May, Ad ID: 1220765461 "," Byculla, Mumbai ", Bajaj Pulsar 20500 Kms 2014 year ," Brand: Bajaj Model: Pulsar Year: 2014 KM Driven: 20,500 km "
 2002 Hero Honda Passion 38000 Kms ,15000," Added via phone on 27 May, Ad ID: 1220765003 "," Kandivali East, Mumbai ", 2002 Hero Honda Passion 38000 Kms ," Brand: Hero Honda Model: Passion Year: 2002 KM Driven: 38,000 km "
 2013 Royal Enfield Classic 20000 Kms ,77000," Added via phone on 27 May, Ad ID: 1220765985 "," Currey Road, Mumbai ", 2013 Royal Enfield Classic 20000 Kms ," Brand: Royal Enfield Model: Classic Year: 2013 KM Driven: 20,000 km "
 2010 Suzuki GS 50000 Kms ,23999," Added via phone on 27 May, Ad ID: 1220764965 "," Antop Hill, Mumbai ", 2010 Suzuki GS 50000 Kms ," Brand: Suzuki Model: GS Year: 2010 KM Driven: 50,000 km "
 2011 Bajaj Pulsar 47000 Kms ,30000," Added via phone on 27 May, Ad ID: 1220770485 "," Jogeshwari–Vikhroli Link Road (JVLR), Mumbai ", 2011 Bajaj Pulsar 47000 Kms ," Brand: Bajaj Model: Pulsar Year: 2011 KM Driven: 47,000 km "
 Bajaj Discover 150 24000 Kms 2015 year ,36200," Added via phone on 27 May, Ad ID: 1220771731 "," Vrindavan, Mumbai ", Bajaj Discover 150 24000 Kms 2015 year ," Brand: Bajaj Model: Discover Year: 2015 KM Driven: 24,000 km "
 2012 Hero Others 16363 Kms ,32000," Added via phone on 27 May, Ad ID: 1200665575 "," Ghatkopar West, Mumbai ", 2012 Hero Others 16363 Kms ," Brand: Hero Model: Others Year: 2012 KM Driven: 16,363 km "
 Yamaha YZF R 15 27000 Kms 2014 year ,70000," Added via phone on 27 May, Ad ID: 1141138235 "," Goregaon West, Mumbai ", Yamaha YZF R 15 27000 Kms 2014 year ," Brand: Yamaha Model: YZF R Year: 2014 KM Driven: 27,000 km "
 2012 Bajaj Pulsar 7500 Kms ,30000," Added via phone on 27 May, Ad ID: 1220776933 "," Dharavi, Mumbai ", 2012 Bajaj Pulsar 7500 Kms ," Brand: Bajaj Model: Pulsar Year: 2012 KM Driven: 7,500 km "
 2011 Royal Enfield Classic 4000 Kms ,95000," Added via phone on 27 May, Ad ID: 1220776145 "," Mira Road, Mumbai ", 2011 Royal Enfield Classic 4000 Kms ," Brand: Royal Enfield Model: Classic Year: 2011 KM Driven: 4,000 km "
 Hero Honda Karizma 60 Kms 2010 year ,32500," Added via phone on 27 May, Ad ID: 1210638289 "," Tagore Nagar, Mumbai ", Hero Honda Karizma 60 Kms 2010 year , Brand: Hero Honda Model: Karizma Year: 2010 KM Driven: 60 km 
 2012 Bajaj Others 38889 Kms ,44000," Added via phone on 27 May, Ad ID: 1220782735 "," Vasai East, Mumbai ", 2012 Bajaj Others 38889 Kms ," Brand: Bajaj Model: Others Year: 2012 KM Driven: 38,889 km "
 Yamaha Rx 00001 Kms 1989 year ,35000," Added via phone on 27 May, Ad ID: 1220783883 "," Bhakti Park, Mumbai ", Yamaha Rx 00001 Kms 1989 year , Brand: Yamaha Model: Fazer Year: 1989 KM Driven: 1 km 
 2014 Yamaha YZF R 25000 Kms ,65000," Added via phone on 27 May, Ad ID: 1220777905 "," Malad West, Mumbai ", 2014 Yamaha YZF R 25000 Kms ," Brand: Yamaha Model: YZF R Year: 2014 KM Driven: 25,000 km "
 Yamaha FZS 31000 Kms 2016 year ,71000," Added via phone on 27 May, Ad ID: 1220784327 "," Kandivali West, Mumbai ", Yamaha FZS 31000 Kms 2016 year ," Brand: Yamaha Model: FZS Year: 2016 KM Driven: 31,000 km "
 Bajaj Pulsar 27422 Kms 2016 year ,65000," Added via phone on 27 May, Ad ID: 1220785457 "," Vasai East, Mumbai ", Bajaj Pulsar 27422 Kms 2016 year ," Brand: Bajaj Model: Pulsar Year: 2016 KM Driven: 27,422 km "
 2017 Hero Others 6667 Kms ,80000," Added via phone on 27 May, Ad ID: 1220785669 "," Ghatkopar West, Mumbai ", 2017 Hero Others 6667 Kms ," Brand: Hero Model: Others Year: 2017 KM Driven: 6,667 km "
 Bajaj Avenger 660 Kms 2013 year ,50999," Added via phone on 27 May, Ad ID: 1210823929 "," Panth Nagar, Mumbai ", Bajaj Avenger 660 Kms 2013 year , Brand: Bajaj Model: Avenger Year: 2013 KM Driven: 660 km 
 2014 Bajaj Pulsar 40000 Kms ,42000," Added via phone on 27 May, Ad ID: 1220788765 "," Virar East, Mumbai ", 2014 Bajaj Pulsar 40000 Kms ," Brand: Bajaj Model: Pulsar Year: 2014 KM Driven: 40,000 km "
 Bajaj Platina 18012 Kms 2016 year ,46000," Added via phone on 27 May, Ad ID: 1220790745 "," Mantralaya, Mumbai ", Bajaj Platina 18012 Kms 2016 year ," Brand: Bajaj Model: Platina Year: 2016 KM Driven: 18,012 km "
 2017 Bajaj Pulsar 16000 Kms ABS ,96000," Added via phone on 27 May, Ad ID: 1208299647 "," Ghatkopar West, Mumbai ", 2017 Bajaj Pulsar 16000 Kms ABS ," Brand: Bajaj Model: Pulsar Year: 2017 KM Driven: 16,000 km "
 Credit Card/Loan Facility available for RC 200 almost 2015 Model ,95000," Added via phone on 30 May, Ad ID: 1210541989 "," Grant Road Area, Mumbai ", Credit Card/Loan Facility available for RC 200 almost 2015 Model ," Brand: KTM Model: RC Year: 2015 KM Driven: 21,000 km "
 Yamaha YZF R 14700 Kms 2014 year ,72000," Added via phone on 27 May, Ad ID: 1217999469 "," Vikhroli East, Mumbai ", Yamaha YZF R 14700 Kms 2014 year ," Brand: Yamaha Model: YZF R Year: 2017 KM Driven: 14,700 km "
 2011 Honda CB 32000 Kms ,26000," Added via phone on 27 May, Ad ID: 1220788557 "," Antop Hill, Mumbai ", 2011 Honda CB 32000 Kms ," Brand: Honda Model: CB Year: 2011 KM Driven: 32,000 km "
 2012 Bajaj Avenger 25000 Kms ,34000," Added via phone on 29 May, Ad ID: 1219260543 "," Grant Road Area, Mumbai ", 2012 Bajaj Avenger 25000 Kms ," Brand: Bajaj Model: Avenger Year: 2012 KM Driven: 25,000 km "
 2016 Yamaha YZF R 16000 Kms ,84555," Added via phone on 29 May, Ad ID: 1221501843 "," Kurla West, Mumbai ", 2016 Yamaha YZF R 16000 Kms ," Brand: Yamaha Model: YZF R Year: 2016 KM Driven: 16,000 km "
" Kawasaki Z800 like new, with spools,windshield ,engine ",749000," Added via phone on 29 May, Ad ID: 1193981611 "," Powai, Mumbai "," Kawasaki Z800 like new, with spools,windshield ,engine "," Brand: Other Brands Year: 2016 KM Driven: 3,013 km "
 Honda Others 24600 Kms 2013 year ,30000," Added via phone on 29 May, Ad ID: 1221502475 "," Mira Road, Mumbai ", Honda Others 24600 Kms 2013 year ," Brand: Honda Model: Others Year: 2013 KM Driven: 24,600 km "
" 2015, brand new condition! 9000km done Kawasaki ",250000," Added via phone on 29 May, Ad ID: 1221503437 "," Santacruz West, Mumbai "," 2015, brand new condition! 9000km done Kawasaki "," Brand: Other Brands Year: 2015 KM Driven: 9,000 km "
 KTM RC 14500 Kms 2015 year ,150000," Added via phone on 29 May, Ad ID: 1221503451 "," Tagore Nagar, Mumbai ", KTM RC 14500 Kms 2015 year ," Brand: KTM Model: RC Year: 2015 KM Driven: 14,500 km "
 Benelli bike is in very good condition in brand ,265000," Added via phone on 29 May, Ad ID: 1221509513 "," Mira Road, Mumbai ", Benelli bike is in very good condition in brand ," Brand: Other Brands Year: 2016 KM Driven: 4,900 km "
 Harley Davidson Stree 750 in very Good Condition ,510000," Added via phone on 29 May, Ad ID: 1221509247 "," Apollo Bunder, Mumbai ", Harley Davidson Stree 750 in very Good Condition ," Brand: Other Brands Year: 2017 KM Driven: 5,200 km "
 2011 Honda CBR 30000 Kms ,58000," Added via phone on 29 May, Ad ID: 1221510939 "," Sewri, Mumbai ", 2011 Honda CBR 30000 Kms ," Brand: Honda Model: CBR Year: 2011 KM Driven: 30,000 km "
 Bajaj Pulsar 12942 Kms 2015 year ,80000," Added via phone on 29 May, Ad ID: 1221510511 "," Bandra East, Mumbai ", Bajaj Pulsar 12942 Kms 2015 year ," Brand: Bajaj Model: Pulsar Year: 2015 KM Driven: 12,942 km "
 2015 Bajaj Pulsar 23000 Kms ,55000," Added via phone on 29 May, Ad ID: 1221510075 "," Bandra West, Mumbai ", 2015 Bajaj Pulsar 23000 Kms ," Brand: Bajaj Model: Pulsar Year: 2015 KM Driven: 23,000 km "
 2011 Bajaj Pulsar 32000 Kms ,19500," Added via phone on 29 May, Ad ID: 1221509913 "," Vrindavan, Mumbai ", 2011 Bajaj Pulsar 32000 Kms ," Brand: Bajaj Model: Pulsar Year: 2011 KM Driven: 32,000 km "
 2012 Honda Others 24253 Kms ,30000," Added via phone on 29 May, Ad ID: 1221512419 "," Malad West, Mumbai ", 2012 Honda Others 24253 Kms ," Brand: Honda Model: Others Year: 2012 KM Driven: 24,253 km "
 2012 Suzuki Slingshot 18000 Kms ,25000," Added via phone on 29 May, Ad ID: 1221511399 "," Vasai West, Mumbai ", 2012 Suzuki Slingshot 18000 Kms ," Brand: Suzuki Model: Slingshot Year: 2012 KM Driven: 18,000 km "
