 Bajaj Avenger 17047 Kms 2016 year slightly negotiable ,70000," Added via phone Yesterday, Ad ID: 1221850037 "," Bandra East, Mumbai ", Bajaj Avenger 17047 Kms 2016 year slightly negotiable ," Brand: Bajaj Model: Avenger Year: 2016 KM Driven: 17,047 km "
 Harley Davidson Sportster Superlow 883L in ,500000," Added via phone Yesterday, Ad ID: 1221841019 "," Andheri East, Mumbai ", Harley Davidson Sportster Superlow 883L in ," Brand: Other Brands Year: 2013 KM Driven: 43,700 km "
 2008 Bajaj Platina 16500 Kms ,17000," Added via phone Yesterday, Ad ID: 1221842311 "," Vasai West, Mumbai ", 2008 Bajaj Platina 16500 Kms ," Brand: Bajaj Model: Platina Year: 2008 KM Driven: 16,500 km "
 Yamaha Fazer 2600 Kms 2009 year ,35000," Added via phone Yesterday, Ad ID: 1221847511 "," Vasai Road, Mumbai ", Yamaha Fazer 2600 Kms 2009 year ," Brand: Yamaha Model: Fazer Year: 2009 KM Driven: 2,600 km "
 Bajaj Pulsar 99000 Kms 2008 year ,29000," Added via phone Yesterday, Ad ID: 1221836045 "," kidwai Nagar, Mumbai ", Bajaj Pulsar 99000 Kms 2008 year ," Brand: Bajaj Model: Pulsar Year: 2008 KM Driven: 99,000 km "
 2012 Bajaj Discover 23000 Kms ,16999," Added via phone Yesterday, Ad ID: 1221839111 "," Kurla West, Mumbai ", 2012 Bajaj Discover 23000 Kms ," Brand: Bajaj Model: Discover Year: 2012 KM Driven: 23,000 km "
 2014 KTM 390 Duke ABS 38000 Kms ,125000," Added via phone Yesterday, Ad ID: 1221849819 "," Dahisar East, Mumbai ", 2014 KTM 390 Duke ABS 38000 Kms ," Brand: KTM Model: 390 Duke ABS Year: 2014 KM Driven: 38,000 km "
 2017 Suzuki Others 17085 Kms ,50000," Added via phone Yesterday, Ad ID: 1221833433 "," Mumbai Central, Mumbai ", 2017 Suzuki Others 17085 Kms ," Brand: Suzuki Model: Others Year: 2017 KM Driven: 17,085 km "
 2004 Bajaj Pulsar 27000 Kms ,14000," Added via phone Yesterday, Ad ID: 1155443481 "," Chembur, Mumbai ", 2004 Bajaj Pulsar 27000 Kms ," Brand: Bajaj Model: Pulsar Year: 2005 KM Driven: 27,000 km "
 Bajaj Pulsar180 2011 year ,30000," Added via phone Yesterday, Ad ID: 1221865575 "," Lower Parel, Mumbai ", Bajaj Pulsar180 2011 year ," Brand: Bajaj Model: Pulsar Year: 2011 KM Driven: 58,000 km "
 Yamaha Others 3059 Kms 1987 year ,48000," Added via phone Yesterday, Ad ID: 1221828559 "," Chembur, Mumbai ", Yamaha Others 3059 Kms 1987 year ," Brand: Yamaha Model: Others Year: 1987 KM Driven: 3,059 km "
 Royal Enfield Classic 22000 Kms 2012 year ,85000," Added via phone Yesterday, Ad ID: 1221827931 "," Vasai West, Mumbai ", Royal Enfield Classic 22000 Kms 2012 year ," Brand: Royal Enfield Model: Classic Year: 2012 KM Driven: 22,000 km "
 2012 Bajaj Pulsar 40000 Kms ,35000," Added via phone Yesterday, Ad ID: 1221820649 "," Vishal hall, Mumbai ", 2012 Bajaj Pulsar 40000 Kms ," Brand: Bajaj Model: Pulsar Year: 2012 KM Driven: 40,000 km "
 2015 Benelli 600 i with ixil exhaust BULLET RAJA Bikes ,399999," Added via phone on 15 May, Ad ID: 1211278863 "," Mulund West, Mumbai ", 2015 Benelli 600 i with ixil exhaust BULLET RAJA Bikes ," Brand: Other Brands Year: 2015 KM Driven: 20,000 km "
 2006 Honda Others 60000 Kms ,18000," Added via phone Yesterday, Ad ID: 1221819123 "," Bhayandar East, Mumbai ", 2006 Honda Others 60000 Kms ," Brand: Honda Model: Others Year: 2006 KM Driven: 60,000 km "
 KTM RC200 13000 Kms 2015 year ,105000," Added via phone Yesterday, Ad ID: 1221819207 "," Goregaon East, Mumbai ", KTM RC200 13000 Kms 2015 year ," Brand: KTM Model: RC Year: 2015 KM Driven: 13,000 km "
 2010 Honda Others 30000 Kms ,20550," Added via phone Yesterday, Ad ID: 1218762133 "," Byculla, Mumbai ", 2010 Honda Others 30000 Kms ," Brand: Honda Model: Others Year: 2010 KM Driven: 30,000 km "
 Honda CB 25874 Kms 2013 year ,26500," Added via phone Yesterday, Ad ID: 1221814707 "," Nalasopara East, Mumbai ", Honda CB 25874 Kms 2013 year ," Brand: Honda Model: CB Year: 2013 KM Driven: 25,874 km "
 Honda Others 45000 Kms 2007 year ,15000," Added via phone Yesterday, Ad ID: 1221812977 "," Kurla West, Mumbai ", Honda Others 45000 Kms 2007 year ," Brand: Honda Model: Others Year: 2007 KM Driven: 45,000 km "
 2016 Honda Others 25000 Kms ,68500," Added via phone Yesterday, Ad ID: 1221811735 "," Borivali West, Mumbai ", 2016 Honda Others 25000 Kms ," Brand: Honda Model: Others Year: 2016 KM Driven: 25,000 km "
 Yamaha Others 35000 Kms 1993 year ,35000," Added via phone Yesterday, Ad ID: 1221810085 "," Borivali West, Mumbai ", Yamaha Others 35000 Kms 1993 year ," Brand: Yamaha Model: Others Year: 1993 KM Driven: 35,000 km "
 2011 Bajaj Pulsar 50000 Kms ,32000," Added via phone Yesterday, Ad ID: 1221808713 "," Aarey Road, Mumbai ", 2011 Bajaj Pulsar 50000 Kms ," Brand: Bajaj Model: Pulsar Year: 2011 KM Driven: 50,000 km "
 2013 Bajaj Avenger 32000 Kms ,35000," Added via phone Yesterday, Ad ID: 1216640021 "," Vazira, Mumbai ", 2013 Bajaj Avenger 32000 Kms ," Brand: Bajaj Model: Avenger Year: 2013 KM Driven: 32,000 km "
 2006 Honda CB 50000 Kms ,15000," Added via phone Yesterday, Ad ID: 1221806067 "," Mira Road, Mumbai ", 2006 Honda CB 50000 Kms ," Brand: Honda Model: CB Year: 2006 KM Driven: 50,000 km "
 2016 Honda Others ,55000," Added via phone Yesterday, Ad ID: 1221822903 "," Malad East, Mumbai ", 2016 Honda Others ," Brand: Honda Model: Others Year: 2016 KM Driven: 10,000 km "
 1991 Yamaha Others 19000 Kms ,58000," Added via phone Yesterday, Ad ID: 1221797743 "," Malad East, Mumbai ", 1991 Yamaha Others 19000 Kms ," Brand: Yamaha Model: Others Year: 1991 KM Driven: 19,000 km "
 Hero Honda Passion 35000 Kms 2006 year ,22000," Added via phone Yesterday, Ad ID: 1221799873 "," Colaba, Mumbai ", Hero Honda Passion 35000 Kms 2006 year ," Brand: Hero Honda Model: Passion Year: 2006 KM Driven: 35,000 km "
 EMI/Credit card facility available for for Hornet 2016 model ,63000," Added via phone on 29 May, Ad ID: 1175067961 "," Grant Road Area, Mumbai ", EMI/Credit card facility available for for Hornet 2016 model ," Brand: Honda Model: CB Year: 2016 KM Driven: 8,000 km "
 2018 TVS Others 1500 Kms ,180000," Added via phone Yesterday, Ad ID: 1221806937 "," Ghatkopar West, Mumbai ", 2018 TVS Others 1500 Kms ," Brand: TVS Model: Others Year: 2018 KM Driven: 1,500 km "
 2010 Honda CB 47000 Kms ,26000," Added via phone Yesterday, Ad ID: 1221793751 "," Ghatkopar West, Mumbai ", 2010 Honda CB 47000 Kms ," Brand: Honda Model: CB Year: 2010 KM Driven: 47,000 km "
 Royal Enfield Classic 32500 Kms 2010 year ,82500," Added via phone Yesterday, Ad ID: 1221790535 "," Mira Road, Mumbai ", Royal Enfield Classic 32500 Kms 2010 year ," Brand: Royal Enfield Model: Classic Year: 2010 KM Driven: 32,500 km "
 2013 Honda Unicorn 20000 Kms ,40000," Added via phone on 29 May, Ad ID: 1221586699 "," Andheri East, Mumbai ", 2013 Honda Unicorn 20000 Kms ," Brand: Honda Model: CB Year: 2013 KM Driven: 20,000 km "
 Yamaha Others 15000 Kms 1992 year ,75000," Added via phone on 29 May, Ad ID: 1221584503 "," Malad East, Mumbai ", Yamaha Others 15000 Kms 1992 year ," Brand: Yamaha Model: Others Year: 1992 KM Driven: 15,000 km "
 2017 Harley Davidson Street 750cc with extra fitting BULLET RAJA Bikes ,425000," Added via phone on 24 May, Ad ID: 1216434747 "," Mulund West, Mumbai ", 2017 Harley Davidson Street 750cc with extra fitting BULLET RAJA Bikes ," Brand: Other Brands Year: 2017 KM Driven: 4,500 km "
 Honda CBR 37000 Kms 2012 year ,60000," Added via phone on 29 May, Ad ID: 1221578939 "," Nalasopara East, Mumbai ", Honda CBR 37000 Kms 2012 year ," Brand: Honda Model: CBR Year: 2012 KM Driven: 37,000 km "
 Excellent Condition Fazer 2012 Model ,34000," Added via phone on 29 May, Ad ID: 1206064587 "," Grant Road Area, Mumbai ", Excellent Condition Fazer 2012 Model ," Brand: Yamaha Model: Fazer Year: 2012 KM Driven: 40,000 km "
 2011 Honda Others 60000 Kms ,28000," Added via phone Yesterday, Ad ID: 1221785613 "," Powai, Mumbai ", 2011 Honda Others 60000 Kms ," Brand: Honda Model: Others Year: 2011 KM Driven: 60,000 km "
 2012 Bajaj Pulsar 45000 Kms ,29000," Added via phone on 29 May, Ad ID: 1221570761 "," Trombay, Mumbai ", 2012 Bajaj Pulsar 45000 Kms ," Brand: Bajaj Model: Pulsar Year: 2012 KM Driven: 45,000 km "
 Yamaha SS 125 20000 Kms 2011 year ,25000," Added via phone on 29 May, Ad ID: 1216298871 "," Kandivali West, Mumbai ", Yamaha SS 125 20000 Kms 2011 year ," Brand: Yamaha Model: SS 125 Year: 2011 KM Driven: 20,000 km "
 2014 Yamaha YZF R 29007 Kms ,60000," Added via phone on 29 May, Ad ID: 1221567599 "," Worli, Mumbai ", 2014 Yamaha YZF R 29007 Kms ," Brand: Yamaha Model: YZF R Year: 2014 KM Driven: 29,007 km "
 2015 Honda CB 26500 Kms ,45000," Added via phone on 29 May, Ad ID: 1221564601 "," Boisar, Mumbai ", 2015 Honda CB 26500 Kms ," Brand: Honda Model: CB Year: 2015 KM Driven: 26,500 km "
 2017 Honda CBR 250R 3500 Kms ,155000," Added via phone Yesterday, Ad ID: 1221797233 "," Borivali West, Mumbai ", 2017 Honda CBR 250R 3500 Kms ," Brand: Honda Model: CBR Year: 2017 KM Driven: 3,500 km "
 Bajaj CT 100 90 Kms 2005 year ,8000," Added via phone on 29 May, Ad ID: 1221568125 "," Vishwakarma Nagar, Mumbai ", Bajaj CT 100 90 Kms 2005 year ," Brand: Bajaj Model: CT 100 Year: 2005 KM Driven: 15,000 km "
 Yamaha FZS 41000 Kms 2015 year ,45000," Added via phone on 29 May, Ad ID: 1221566367 "," Netaji Nagar, Mumbai ", Yamaha FZS 41000 Kms 2015 year ," Brand: Yamaha Model: FZS Year: 2015 KM Driven: 41,000 km "
 Honda CB 46119 Kms 2011 year ,29999," Added via phone on 29 May, Ad ID: 1221562763 "," Tunga Village, Mumbai ", Honda CB 46119 Kms 2011 year ," Brand: Honda Model: CB Year: 2011 KM Driven: 46,119 km "
 Bajaj Pulsar 50000 Kms 2006 year ,18000," Added via phone on 29 May, Ad ID: 1221530505 "," Jogeshwari West, Mumbai ", Bajaj Pulsar 50000 Kms 2006 year ," Brand: Bajaj Model: Pulsar Year: 2006 KM Driven: 50,000 km "
 2010 Hero Honda Passion 27748 Kms ,30000," Added via phone on 29 May, Ad ID: 1221550031 "," Dahisar East, Mumbai ", 2010 Hero Honda Passion 27748 Kms ," Brand: Hero Honda Model: Passion Year: 2010 KM Driven: 27,748 km "
 2010 Hero Honda Passion 26000 Kms ,22000," Added via phone on 29 May, Ad ID: 1221560115 "," Gokuldham, Mumbai ", 2010 Hero Honda Passion 26000 Kms ," Brand: Hero Honda Model: Passion Year: 2010 KM Driven: 26,000 km "
 2009 Honda CBF Stunner 48000 Kms ,20000," Added via phone on 29 May, Ad ID: 1221559773 "," Goregaon East, Mumbai ", 2009 Honda CBF Stunner 48000 Kms ," Brand: Honda Model: CBF Stunner Year: 2009 KM Driven: 48,000 km "
 2015 Harley Davidson iron 883 XL 4000km only ,600000," Added via phone on 29 May, Ad ID: 1221547641 "," Mulund West, Mumbai ", 2015 Harley Davidson iron 883 XL 4000km only ," Brand: Other Brands Year: 2015 KM Driven: 4,000 km "
 Hero Passion 34540 Kms 2013 year ,35000," Added via phone on 29 May, Ad ID: 1221545887 "," Mumbai Fort Area, Mumbai ", Hero Passion 34540 Kms 2013 year ," Brand: Hero Model: Passion Year: 2013 KM Driven: 34,540 km "
 Honda CB 25780 Kms 2013 year ,37999," Added via phone on 29 May, Ad ID: 1221552039 "," Byculla, Mumbai ", Honda CB 25780 Kms 2013 year ," Brand: Honda Model: CB Year: 2013 KM Driven: 25,780 km "
 2018 Bajaj Pulsar 5000 Kms ,90000," Added via phone on 29 May, Ad ID: 1221056195 "," Vijay Nagar, Mumbai ", 2018 Bajaj Pulsar 5000 Kms ," Brand: Bajaj Model: Pulsar Year: 2018 KM Driven: 5,000 km "
 Bajaj Avenger Decmber 2015 all most 2016 EMI(loan) Available used bike ,63000," Added via phone on 29 May, Ad ID: 1221405039 "," Kandivali West, Mumbai ", Bajaj Avenger Decmber 2015 all most 2016 EMI(loan) Available used bike ," Brand: Bajaj Model: Avenger Year: 2016 KM Driven: 12,500 km "
 2015 Iron 883 with lot's of extra fittings. ,600000," Added via phone on 22 May, Ad ID: 1218789397 "," Mulund West, Mumbai ", 2015 Iron 883 with lot's of extra fittings. ," Brand: Other Brands Year: 2016 KM Driven: 15,000 km "
 2008 Hero Honda Hunk 63000 Kms ,18000," Added via phone Yesterday, Ad ID: 1221724579 "," Kandivali West, Mumbai ", 2008 Hero Honda Hunk 63000 Kms ," Brand: Hero Honda Model: Hunk Year: 2008 KM Driven: 63,000 km "
 2015 KTM RC 7000 Kms ,180000," Added via phone on 29 May, Ad ID: 1213508887 "," Vidya Nagari, Mumbai ", 2015 KTM RC 7000 Kms ," Brand: KTM Model: RC Year: 2015 KM Driven: 7,000 km "
 Royal Enfield Bullet 4500 Kms 2018 year ,140000," Added via phone Yesterday, Ad ID: 1221721129 "," Badlapur East, Mumbai ", Royal Enfield Bullet 4500 Kms 2018 year ," Brand: Royal Enfield Model: Bullet Year: 2018 KM Driven: 4,500 km "
 Benelli 300 TNT limited edition for sale!! ,255000," Added via phone Yesterday, Ad ID: 1221719109 "," Andheri East, Mumbai ", Benelli 300 TNT limited edition for sale!! ," Brand: Other Brands Year: 2015 KM Driven: 12,000 km "
 1993 Yamaha Others 40000 Kms ,35500," Added via phone Yesterday, Ad ID: 1203701219 "," Borivali West, Mumbai ", 1993 Yamaha Others 40000 Kms ," Brand: Yamaha Model: Others Year: 1993 KM Driven: 40,000 km "
 Single owner Red Colour Well maintained Recently ,259500," Added via phone Yesterday, Ad ID: 1190882143 "," Borivali West, Mumbai ", Single owner Red Colour Well maintained Recently ," Brand: Other Brands Year: 2015 KM Driven: 28,000 km "
 Bajaj Pulsar 18000 Kms 2016 year ,66500," Added via phone Yesterday, Ad ID: 1210620331 "," Borivali West, Mumbai ", Bajaj Pulsar 18000 Kms 2016 year ," Brand: Bajaj Model: Pulsar Year: 2016 KM Driven: 18,000 km "
 2013 Bajaj Pulsar 12000 Kms ,35000," Added via phone Yesterday, Ad ID: 1221703205 "," Mumbai Central, Mumbai ", 2013 Bajaj Pulsar 12000 Kms ," Brand: Bajaj Model: Pulsar Year: 2013 KM Driven: 12,000 km "
 2016 Honda Others 18000 Kms ,65500," Added via phone Yesterday, Ad ID: 1212612491 "," Borivali East, Mumbai ", 2016 Honda Others 18000 Kms ," Brand: Honda Model: Others Year: 2016 KM Driven: 18,000 km "
 Yamaha Fz-s Version 2.0 ,66500," Added Yesterday, Ad ID: 1215909951 "," Borivali East, Mumbai ", Yamaha Fz-s Version 2.0 ," Brand: Yamaha Model: FZS Year: 2016 KM Driven: 17,000 km "
 Ducati Scrambler ,625000," Added Yesterday, Ad ID: 1210402059 "," Dadar West, Mumbai ", Ducati Scrambler ," Brand: Other Brands Year: 2017 KM Driven: 8,200 km "
 2014 Yamaha YZF R 20000 Kms ,75500," Added via phone Yesterday, Ad ID: 1219471085 "," Borivali West, Mumbai ", 2014 Yamaha YZF R 20000 Kms ," Brand: Yamaha Model: YZF R Year: 2014 KM Driven: 20,000 km "
 Honda CB 28000 Kms 2014 year ,41500," Added via phone Yesterday, Ad ID: 1219471677 "," Borivali West, Mumbai ", Honda CB 28000 Kms 2014 year ," Brand: Honda Model: CB Year: 2014 KM Driven: 28,000 km "
 Bajaj Pulsar 220 Black N Blue Colour ,67000," Added Yesterday, Ad ID: 1186340399 "," Borivali East, Mumbai ", Bajaj Pulsar 220 Black N Blue Colour ," Brand: Bajaj Model: Pulsar Year: 2016 KM Driven: 22,000 km "
 2017 Royal Enfield Thunderbird 4400 Kms ,145000," Added via phone Yesterday, Ad ID: 1143748709 "," Andheri East, Mumbai ", 2017 Royal Enfield Thunderbird 4400 Kms ," Brand: Royal Enfield Model: Thunderbird Year: 2017 KM Driven: 4,400 km "
 (Royal Enfield Classic 350) EXCELLENT CONDITION ,88888," Added Yesterday, Ad ID: 1221692713 "," Goregaon East, Mumbai ", (Royal Enfield Classic 350) EXCELLENT CONDITION ," Brand: Royal Enfield Model: Classic Year: 2012 KM Driven: 20,000 km "
 2012 Bajaj Discover 19000 Kms ,30000," Added via phone Yesterday, Ad ID: 1221693235 "," Aarey Road, Mumbai ", 2012 Bajaj Discover 19000 Kms ," Brand: Bajaj Model: Discover Year: 2012 KM Driven: 19,000 km "
 2013 Bajaj Pulsar 13000 Kms ,38000," Added via phone Yesterday, Ad ID: 1221692351 "," Mumbai Central, Mumbai ", 2013 Bajaj Pulsar 13000 Kms ," Brand: Bajaj Model: Pulsar Year: 2013 KM Driven: 13,000 km "
 Honda Others 1800 Kms 2018 year ,55000," Added via phone Yesterday, Ad ID: 1221680857 "," Chembur, Mumbai ", Honda Others 1800 Kms 2018 year ," Brand: Honda Model: Others Year: 2018 KM Driven: 1,800 km "
 Honda CB 40000 Kms 2008 year ,15000," Added via phone Yesterday, Ad ID: 1221683095 "," Mankhurd, Mumbai ", Honda CB 40000 Kms 2008 year ," Brand: Honda Model: CB Year: 2008 KM Driven: 40,000 km "
 2014 Honda CB 90000 Kms ,30000," Added via phone Yesterday, Ad ID: 1221678315 "," Sion West, Mumbai ", 2014 Honda CB 90000 Kms ," Brand: Honda Model: CB Year: 2014 KM Driven: 90,000 km "
 1989 Yamaha Others 000053 Kms ,35000," Added via phone Yesterday, Ad ID: 1221629615 "," Jogeshwari West, Mumbai ", 1989 Yamaha Others 000053 Kms , Brand: Yamaha Model: Others Year: 1989 KM Driven: 53 km 
 Ninja 300 super limited edition. ,170000," Added via phone Yesterday, Ad ID: 1200215605 "," Bhandup West, Mumbai ", Ninja 300 super limited edition. ," Brand: Other Brands Year: 2014 KM Driven: 20,000 km "
 Hero Honda Passion 4100 Kms 2018 year 2 showroom service left ,49000," Added via phone Yesterday, Ad ID: 1221629375 "," Bhandup West, Mumbai ", Hero Honda Passion 4100 Kms 2018 year 2 showroom service left ," Brand: Hero Honda Model: Passion Year: 2018 KM Driven: 4,100 km "
 Credit Card/Loan facility available for FZs v2 2015 model ,58000," Added via phone Yesterday, Ad ID: 1210443909 "," Grant Road Area, Mumbai ", Credit Card/Loan facility available for FZs v2 2015 model ," Brand: Yamaha Model: FZS Year: 2015 KM Driven: 21,000 km "
 2017 Hero Passion 30000 Kms ,55000," Added via phone Yesterday, Ad ID: 1221626797 "," Kandivali West, Mumbai ", 2017 Hero Passion 30000 Kms ," Brand: Hero Model: Passion Year: 2017 KM Driven: 30,000 km "
 2010 Bajaj Pulsar 25000 Kms ,24000," Added via phone Yesterday, Ad ID: 1221621947 "," Ushma Nagar, Mumbai ", 2010 Bajaj Pulsar 25000 Kms ," Brand: Bajaj Model: Pulsar Year: 2010 KM Driven: 25,000 km "
 Bajaj Pulsar 16000 Kms 2016 year ,58000," Added via phone Yesterday, Ad ID: 1221625333 "," Malad East, Mumbai ", Bajaj Pulsar 16000 Kms 2016 year ," Brand: Bajaj Model: Pulsar Year: 2016 KM Driven: 16,000 km "
 Bajaj Avenger 220 cc 50000 Kms ,50000," Added via phone on 29 May, Ad ID: 1221617449 "," Malad East, Mumbai ", Bajaj Avenger 220 cc 50000 Kms ," Brand: Bajaj Model: Avenger Year: 2012 KM Driven: 50,000 km "
 Bajaj Discover 21565 Kms 2011 year ,30000," Added via phone on 29 May, Ad ID: 1221607825 "," Dhanayjay And Bhadarali, Mumbai ", Bajaj Discover 21565 Kms 2011 year ," Brand: Bajaj Model: Discover Year: 2011 KM Driven: 21,565 km "
 Yamaha FZS 30000 Kms 2010 year ,25000," Added via phone on 29 May, Ad ID: 1221620551 "," Nalasopara East, Mumbai ", Yamaha FZS 30000 Kms 2010 year ," Brand: Yamaha Model: FZS Year: 2010 KM Driven: 34,500 km "
 Yamaha Others 13000 Kms 2016 year ,40000," Added via phone on 29 May, Ad ID: 1221614949 "," Elphinstone Road, Mumbai ", Yamaha Others 13000 Kms 2016 year ," Brand: Yamaha Model: Others Year: 2016 KM Driven: 13,000 km "
 Royal Enfield Bullet 30000 Kms 2002 year ,80000," Added via phone on 29 May, Ad ID: 1221610249 "," Samata Nagar, Mumbai ", Royal Enfield Bullet 30000 Kms 2002 year ," Brand: Royal Enfield Model: Bullet Year: 2002 KM Driven: 30,000 km "
 2008 Hero Hunk 40000 Kms ,22000," Added via phone on 29 May, Ad ID: 1221604787 "," Tembhi, Mumbai ", 2008 Hero Hunk 40000 Kms ," Brand: Hero Model: Hunk Year: 2008 KM Driven: 40,000 km "
 2013 Yamaha YZF R 30000 Kms ,55000," Added via phone on 29 May, Ad ID: 1221607413 "," Vijaykar Wadi, Mumbai ", 2013 Yamaha YZF R 30000 Kms ," Brand: Yamaha Model: YZF R Year: 2013 KM Driven: 30,000 km "
 Honda Others 55346 Kms 2010 year ,30000," Added via phone on 29 May, Ad ID: 1176164383 "," Sewri, Mumbai ", Honda Others 55346 Kms 2010 year ," Brand: Honda Model: Others Year: 2010 KM Driven: 55,346 km "
 2012 Royal Enfield Bullet 13390 Kms ,75000," Added via phone on 29 May, Ad ID: 1218286459 "," Vakola, Mumbai ", 2012 Royal Enfield Bullet 13390 Kms ," Brand: Royal Enfield Model: Bullet Year: 2012 KM Driven: 13,390 km "
 2017 Harley Davidson Street 750cc with extra fitting BULLET RAJA Bikes ,425000," Added via phone on 24 May, Ad ID: 1216434747 "," Mulund West, Mumbai ", 2017 Harley Davidson Street 750cc with extra fitting BULLET RAJA Bikes ," Brand: Other Brands Year: 2017 KM Driven: 4,500 km "
 2011 Honda Others 60000 Kms ,28000," Added via phone Yesterday, Ad ID: 1221785613 "," Powai, Mumbai ", 2011 Honda Others 60000 Kms ," Brand: Honda Model: Others Year: 2011 KM Driven: 60,000 km "
 2014 KTM Duke 200 25000 Kms ,65000," Added via phone Yesterday, Ad ID: 1221782189 "," Grant Road Area, Mumbai ", 2014 KTM Duke 200 25000 Kms ," Brand: KTM Model: Duke 200 Year: 2014 KM Driven: 25,000 km "
 Credit Card/Loan Facility available for Honda Hornet Double Disc Brake ,72000," Added via phone Yesterday, Ad ID: 1175118223 "," Grant Road Area, Mumbai ", Credit Card/Loan Facility available for Honda Hornet Double Disc Brake ," Brand: Honda Model: CB Year: 2016 KM Driven: 10,000 km "
 Bajaj Pulsar 10000 Kms 2015 year ,55000," Added via phone on 29 May, Ad ID: 1221597649 "," Gokuldham, Mumbai ", Bajaj Pulsar 10000 Kms 2015 year ," Brand: Bajaj Model: Pulsar Year: 2015 KM Driven: 10,000 km "
 2015 Harley Davidson iron 883 XL 4000km only ,600000," Added via phone on 29 May, Ad ID: 1221547641 "," Mulund West, Mumbai ", 2015 Harley Davidson iron 883 XL 4000km only ," Brand: Other Brands Year: 2015 KM Driven: 4,000 km "
 2017 Royal Enfield Classic 3000 Kms ,149000," Added via phone on 29 May, Ad ID: 1221599633 "," Andheri East, Mumbai ", 2017 Royal Enfield Classic 3000 Kms ," Brand: Royal Enfield Model: Classic Year: 2017 KM Driven: 3,000 km "
 UM Renegade Commado 2017. Bike is in excellent ,155000," Added via phone Yesterday, Ad ID: 1207982701 "," Goregaon East, Mumbai ", UM Renegade Commado 2017. Bike is in excellent ," Brand: Other Brands Year: 2017 KM Driven: 5,500 km "
 2011 Hero Honda Karizma 9000 Kms ,50000," Added via phone Yesterday, Ad ID: 1221763393 "," Dombivli West, Mumbai ", 2011 Hero Honda Karizma 9000 Kms ," Brand: Hero Honda Model: Karizma Year: 2011 KM Driven: 9,000 km "
 2010 Bajaj Pulsar 44000 Kms ,22500," Added via phone Yesterday, Ad ID: 1221766273 "," Kanakia Road, Mumbai ", 2010 Bajaj Pulsar 44000 Kms ," Brand: Bajaj Model: Pulsar Year: 2010 KM Driven: 44,000 km "
 2005 Royal Enfield Classic 50000 Kms ,70000," Added via phone Yesterday, Ad ID: 1212371473 "," Ghodbunder, Mumbai ", 2005 Royal Enfield Classic 50000 Kms ," Brand: Royal Enfield Model: Classic Year: 2005 KM Driven: 50,000 km "
